type	L1	L2	L3	L4	L5	m12sq	tbeta	mH	mh	mA	mHc	alpha	m11sq	m22sq	bs_gamma	maxev	b_h_ss	b_h_cc	b_h_bb	b_h_mumu	b_h_tautau	b_h_WW	b_h_ZZ	b_h_Zga	b_h_gaga	b_h_gg	b_h_AA	w_h	b_A_ss	b_A_cc	b_A_bb	b_A_tt	b_A_mumu	b_A_tautau	b_A_WW	b_A_ZZ	b_A_Zga	b_A_gaga	b_A_gg	w_A	b_H_ss	b_H_cc	b_H_bb	b_H_tt	b_H_mumu	b_H_tautau	b_H_WW	b_H_ZZ	b_H_Zga	b_H_gaga	b_H_gg	b_H_hh	b_H_AA	w_H	b_t_Wb	b_t_Hcb	b_Hc_cs	b_Hc_cb	b_Hc_tb	b_Hc_ts	b_Hc_tau	b_Hc_Wh	b_Hc_WH	b_Hc_WA	w_Hc	mu_F	mu_V	mu_gaga	mu_ZZ	mu_WW	mu_tautau	mu_bb	x_h_ggF	x_A_ggF	x_H_ggF
2 0.258148 0.258148 0.258148 0 0 3.072e+06 3 3200 125.1 3200 3200 -0.321751
2 0.258148 0.258148 0.258148 0 0 3e+07 3 10000 125.1 10000 10000 -0.321751
2 0.258148 0.258148 263.85 -131.796 -131.796 675000 3 1500 125.1 3200 3200 -0.321751
2 0.258148 0.258148 0.258148 -131.796 131.796 3.072e+06 3 3200 125.1 1500 3200 -0.321751
2 0.258148 0.258148 0.258148 0 0 5.12e+06 1 3200 125.1 3200 3200 -0.785398
2 0.258148 0.258148 -43.566 21.9121 21.9121 1.08736e+06 1.3 1500 125.1 960 960 -0.655696
2 0.258148 0.258148 0.258148 18.5801 -18.5801 337080 3 1060 125.1 1500 1060 -0.321751
2 0.258148 0.258148 0.258148 0 0 337080 3 1060 125.1 1060 1060 -0.321751
2 0.258148 0.258148 -15.0493 7.65372 7.65372 476280 3 1260 125.1 1060 1060 -0.321751
2 0.258148 0.258148 11.6068 -5.67431 -5.67431 173280 3 760 125.1 960 960 -0.321751
2 0.258148 0.258148 11.6068 -5.67431 -5.67431 288800 1 760 125.1 960 960 -0.785398
2 0.258148 0.258148 11.6068 -5.67431 -5.67431 5775.42 100 760 125.1 960 960 -0.00999967
2 0.258148 0.258148 3225.05 -1612.39 -1612.39 1.0852e+06 1.31 1500 125.1 10000 10000 -0.651996
2 0.258148 0.258148 0.258148 -1612.39 1612.39 3e+07 3 10000 125.1 1500 10000 -0.321751
2 0.258148 0.258148 0.258148 0 0 3e+07 3 10000 125.1 10000 10000 -0.321751
